config,workload,concurrency,repeat,n,p50_ms,p95_ms,p99_ms,avg_ms,req_per_sec,ok,err,cpu_pct,url
cg_adaptive_sqli,plain,10,3,10000,3.6,5.3,6.2,4.6,1901.0138,10000,0,129.3,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,10,4,10000,3.7,5.7,6.7,4.7,1811.0682,10000,0,123.0,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,10,5,10000,3.7,5.4,6.5,4.6,1859.1148,10000,0,125.1,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,50,1,10000,4.2,6.1000000000000005,1004.9999999999999,20.2,1710.7203,10000,0,117.2,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,50,2,10000,4.4,6.1000000000000005,941.8,20.299999999999997,1799.3715,10000,0,123.5,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,50,3,10000,4.0,5.8,446.40000000000003,17.6,1744.4038,10000,0,118.3,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,50,4,10000,4.0,5.8,7.7,17.5,1703.3044,10000,0,115.2,http://localhost/customapp/product?id=1
cg_adaptive_sqli,plain,50,5,10000,4.2,6.0,8.200000000000001,17.4,1776.0386,10000,0,120.4,http://localhost/customapp/product?id=1
cg_adaptive_sqli,token,1,1,10000,1.0,1.2,1.4,1.0,954.8877,10000,0,69.2,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,1,2,10000,1.0,1.2,1.4,1.0,957.5817,10000,0,70.5,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,1,3,10000,1.0,1.2,1.4,1.0,955.6924,10000,0,69.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,1,4,10000,1.0,1.2,1.4,1.0,950.9138,10000,0,68.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,1,5,10000,1.0,1.2,1.4,1.0,963.6388,10000,0,69.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,10,1,10000,4.2,5.7,6.5,5.0,1841.8754,10000,0,131.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,10,2,10000,4.1000000000000005,5.7,6.5,4.7,1793.9442,10000,0,127.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,10,3,10000,4.0,5.7,6.5,4.7,1790.7387,10000,0,128.4,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,10,4,10000,4.1000000000000005,5.7,6.7,4.8,1849.6315,10000,0,131.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,10,5,10000,3.8,5.6,6.4,4.8999999999999995,1860.5048,10000,0,132.5,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,50,1,10000,3.9,5.8999999999999995,1017.0999999999999,21.1,1637.6284,10000,0,117.0,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,50,2,10000,4.4,6.2,998.1999999999999,20.5,1680.1045,10000,0,123.3,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_sqli,token,50,3,10000,4.1000000000000005,6.0,299.59999999999997,18.5,1746.6274,10000,0,126.3,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
