family,target,page,backend,attack_source_model,shift_type,eps,technique,n_attack_seeds,mean_of_means,sd,median,min,max,pooled_block_rate,blocked_sum,total_sum
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.3,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.3,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.4,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.4,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.5,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,product,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.5,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,21090,21090
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.1,CG-Adaptive,5,99.96,0.09,100.0,99.79,100.0,99.96,21851,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.1,CG-Static,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.2,CG-Adaptive,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.2,CG-Static,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.3,CG-Adaptive,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.3,CG-Static,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.4,CG-Adaptive,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.4,CG-Static,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.5,CG-Adaptive,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,customapp,search,Python/SQLite,anthropic/claude-opus-4.7,model_shift,0.5,CG-Static,5,99.95,0.11,100.0,99.76,100.0,99.95,21850,21860
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21100,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,21100,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,21100,21100
SQLi,juice,login,Node.js/SQLite,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,21100,21100
